,A,F_V_rise,F_V_down
0.0,0.9926060412737233,0,1
0.01,1.3938515563228069,0,1
0.02,-0.5903283350875878,0,1
0.03,1.3717106827179317,0,1
0.04,0.6141728098899901,0,1
0.05,0.6032465745601883,0,1
0.06,-1.7059293603630667,0,1
0.07,0.1876324675637514,0,1
0.08,-0.8097632625697617,0,1
0.09,0.35981880198086696,0,1
0.1,0.408897572737729,0,1
0.11,-1.0822075719864406,0,1
0.12,-0.5072186602896325,0,1
0.13,0.42038856710585437,0,1
0.14,0.08874119892419989,0,1
0.15,-0.2800686854826841,0,1
0.16,-0.5731450399194548,0,1
0.17,0.09700872278562855,0,1
0.18,-0.010575341253071104,0,1
0.19,-0.17700918869264953,0,1
0.2,-0.0022528386095567042,0,1
0.21,-1.683518512443409,0,1
0.22,1.270578621524652,0,1
0.23,-1.170926944783249,0,1
0.24,-0.7123279531063096,0,1
0.25,-0.4339246161927301,0,1
0.26,-0.003758223542795379,0,1
0.27,0.07457405018242595,0,1
0.28,-0.6417270846607862,0,1
0.29,1.0763383911898634,0,1
0.3,1.3676111547718472,0,1
0.31,0.43324880229318785,0,1
0.32,0.26286562868360375,0,1
0.33,0.23643572875162625,0,1
0.34,-0.5391041151146999,0,1
0.35000000000000003,-0.4431754266774218,0,1
0.36,-0.2981221551631388,0,1
0.37,-1.0654051387785344,0,1
0.38,0.8051183283521418,0,1
0.39,0.6442699975347898,0,1
0.4,-0.7396097115048595,0,1
0.41000000000000003,1.989196739688353,0,1
0.42,1.3576185972464938,0,1
0.43,-0.9049615860165413,0,1
0.44,-0.2747010808261883,0,1
0.45,0.8147343687851478,0,1
0.46,-0.3359962422513156,0,1
0.47000000000000003,-0.7650718331488061,0,1
0.48,-0.2031226644349394,0,1
0.49,1.0572205980025027,0,1
0.5,1.0100538786234283,0,1
0.51,0.47536094255718103,0,1
0.52,-1.6944205093207196,0,1
0.53,1.310314919181576,0,1
0.54,0.3440348143542664,0,1
0.55,-0.7579513643272441,0,1
0.56,-0.5043409423770445,0,1
0.5700000000000001,0.06857487961020024,0,1
0.58,-0.21769892702428184,0,1
0.59,1.0264787492393865,0,1
0.6,1.2249496402046127,0,1
0.61,-1.5566303081374129,0,1
0.62,0.7072935870922945,0,1
0.63,-1.4971280248449572,0,1
0.64,-1.4454436109476083,0,1
0.65,-0.28592346227613075,0,1
0.66,0.4994778600071375,0,1
0.67,-1.2691460608160985,0,1
0.68,-1.6684273479416778,0,1
0.6900000000000001,-1.1083988738954493,0,1
0.7000000000000001,-0.046545232960653375,0,1
0.71,-0.9083483975042909,0,1
0.72,0.7721488819476169,0,1
0.73,1.317477420049357,0,1
0.74,-0.23051802451286935,0,1
0.75,0.7586384981859893,0,1
0.76,-0.5749829827464195,0,1
0.77,0.7413180633104406,0,1
0.78,0.3128867176279821,0,1
0.79,3.046103622500111,0,1
0.8,-1.4441777982417192,0,1
0.81,0.04167075098003298,0,1
0.8200000000000001,1.3581858570243748,0,1
0.8300000000000001,1.2285503947078042,0,1
0.84,0.036629731437557524,0,1
0.85,0.46910284257158325,0,1
0.86,-0.18925297042586628,0,1
0.87,1.6407699445953363,0,1
0.88,-1.168476947165701,0,1
0.89,-1.5090946083502812,0,1
0.9,0.13976727023450017,0,1
0.91,0.5436504893166733,0,1
0.92,-1.477875129984203,0,1
0.93,0.26780609628747587,0,1
0.9400000000000001,-0.28502551643785745,0,1
0.9500000000000001,-1.1838517884046764,0,1
0.96,0.5721365220170275,0,1
0.97,-1.0362737170816627,0,1
0.98,-1.6219959241139592,0,1
0.99,1.7908643697758433,0,1
1.0,0.9961254055203913,0,1
1.01,-0.014016351560583935,0,1
1.02,-1.0897463604844821,0,1
1.03,1.1508341992734856,0,1
1.04,-0.19132649519799588,0,1
1.05,-0.22337830880277917,0,1
1.06,0.8841134243846535,0,1
1.07,0.08968491339277611,0,1
1.08,-1.4656113520279828,0,1
1.09,-1.6075221453839164,0,1
1.1,-0.9659100816077818,0,1
1.11,1.0675445320120975,0,1
1.12,0.7824382108679108,0,1
1.1300000000000001,-1.446492226003373,0,1
1.1400000000000001,-1.2340244616737024,0,1
1.1500000000000001,1.992667378737162,0,1
1.16,-1.180140680072093,0,1
1.17,-0.25857449265722293,0,1
1.18,-0.9758341822762759,0,1
1.19,0.0636283945373415,0,1
1.2,0.02817610344119663,0,1
1.21,0.05163610510961351,0,1
1.22,-0.13459164796227374,0,1
1.23,0.8719764022763924,0,1
1.24,0.47391285213523787,0,1
1.25,-1.6497926451153124,0,1
1.26,-0.21589518025341825,0,1
1.27,0.07183111267329893,0,1
1.28,0.1840327991479242,0,1
1.29,-0.3034176998909543,0,1
1.3,-1.1833183178778963,0,1
1.31,-0.2742678057387197,0,1
1.32,0.23381411971010918,0,1
1.33,-0.8979758322553603,0,1
1.34,-0.5972336433208016,0,1
1.35,0.8323752216742656,0,1
1.36,0.21798165880986214,0,1
1.37,0.3610688382113867,0,1
1.3800000000000001,0.9543816886651818,0,1
1.3900000000000001,0.3826439859127089,0,1
1.4000000000000001,-0.9184969556294734,0,1
1.41,1.4217440219442858,0,1
1.42,-0.8835414612048512,0,1
1.43,-1.3762803120650309,0,1
1.44,0.9828372935839464,0,1
1.45,-0.8018626445995855,0,1
1.46,0.4272603616229102,0,1
1.47,0.9873340690143351,0,1
1.48,-1.207486830910967,0,1
1.49,0.5461727236948147,0,1
1.5,1.7316326552103496,0,1
1.51,-0.17300680052202128,0,1
1.52,-3.027589205258279,0,1
1.53,0.08874164482853492,0,1
1.54,3.2138494758318226,0,1
1.55,-0.3856981984169558,0,1
1.56,-2.320665689214944,0,1
1.57,0.6257426256808983,0,1
1.58,0.2590477668020176,0,1
1.59,-0.35411085237361783,0,1
1.6,1.1005343371659873,0,1
1.61,-0.9866942775887675,0,1
1.62,0.021222201646801983,0,1
1.6300000000000001,-1.3650304213699647,0,1
1.6400000000000001,0.16144507359254195,0,1
1.6500000000000001,-2.203755128570861,0,1
1.6600000000000001,0.4542694038385194,0,1
1.67,-1.3961093096516344,0,1
1.68,1.1534494210737776,0,1
1.69,-0.3516285706541622,0,1
1.7,1.1312534418207632,0,1
1.71,-0.08605373870258304,0,1
1.72,-0.42423116953547735,0,1
1.73,1.7317685787094,0,1
1.74,-0.04035598350414145,0,1
1.75,1.0306927727804749,0,1
1.76,-0.24895771197412242,0,1
1.77,0.13869538916201896,0,1
1.78,-0.6995805920950852,0,1
1.79,-0.12915173780222883,0,1
1.8,-0.43920528191758196,0,1
1.81,0.7536322205322504,0,1
1.82,1.2215876605164204,0,1
1.83,2.411598744575023,0,1
1.84,1.2651542892670677,0,1
1.85,-0.9376707712091318,0,1
1.86,-0.046176219216780556,0,1
1.87,-1.7396415373477452,0,1
1.8800000000000001,0.5855340425537425,0,1
1.8900000000000001,-0.3495232475914072,0,1
1.9000000000000001,0.4601177708126671,0,1
1.9100000000000001,-0.09176341562732628,0,1
1.92,0.42435051300070953,0,1
1.93,1.0554475898271225,0,1
1.94,1.740623543206454,0,1
1.95,-0.9485489700633908,0,1
1.96,0.15027339617379126,0,1
1.97,0.33249150847250264,0,1
1.98,-0.5303661582982544,0,1
1.99,-0.7378123108968786,0,1
2.0,-1.59113312668382,0,1
2.0100000000000002,-0.6404667307713272,0,1
2.02,-1.1379739534833933,0,1
2.0300000000000002,1.4260703238799695,0,1
2.04,-1.7230322289121494,0,1
2.05,0.0454474377929047,0,1
2.06,-1.6672596395723676,0,1
2.07,1.1279357225518036,0,1
2.08,-1.551440875557597,0,1
2.09,-0.6614785955585077,0,1
2.1,-0.48061833872861437,0,1
2.11,1.824323519289149,0,1
2.12,-2.026997054227344,0,1
2.13,-0.23714559704310145,0,1
2.14,0.9806382062992787,0,1
2.15,0.8216639829697154,0,1
2.16,0.9844805509806357,0,1
2.17,0.665316332702532,0,1
2.18,-0.08505736016939273,0,1
2.19,0.1501934903159562,0,1
2.2,0.9731889503649224,0,1
2.21,2.0555153390608853,0,1
2.22,1.1111597451433917,0,1
2.23,0.5863961828403151,0,1
2.24,-0.15014513037227825,0,1
2.25,0.4264331826482152,0,1
2.2600000000000002,1.3736553064084662,0,1
2.27,0.8016935350456033,0,1
2.2800000000000002,0.5618562393384703,0,1
2.29,0.0991050267434355,0,1
2.3000000000000003,-2.0577089836830034,0,1
2.31,0.7222898522764255,0,1
2.32,-0.7427542738496082,0,1
2.33,-0.010862623281546161,0,1
2.34,-0.8673975785790768,0,1
2.35,-0.16286414633131738,0,1
2.36,0.3029178447089746,0,1
2.37,-0.7567987685905478,0,1
2.38,1.8041282469930595,0,1
2.39,-0.8993329789587586,0,1
2.4,1.454505320847623,0,1
2.41,-0.19591775553498436,0,1
2.42,-0.40902039421057007,0,1
2.43,-0.6400399410514455,0,1
2.44,0.045703395921381645,0,1
2.45,-0.5663202520065844,0,1
2.46,-0.2856069691816985,0,1
2.47,1.1044023524538154,0,1
2.48,1.8218088409484494,0,1
2.49,-0.3695728235673786,0,1
2.5,-0.7346319502820838,0,1
2.5100000000000002,-1.8701620105980579,0,1
2.52,0.8209704048202157,0,1
2.5300000000000002,0.7532378049720783,0,1
2.54,0.5125022186144126,0,1
2.5500000000000003,-0.21063934176820012,0,1
2.56,1.086630062123319,0,1
2.57,-1.5062537708008474,0,1
2.58,-0.26198438989456363,0,1
2.59,0.4419358064126512,0,1
2.6,-0.6741464254911713,0,1
2.61,-0.7886695643505919,0,1
2.62,1.529233946246447,0,1
2.63,0.23643115252001937,0,1
2.64,-0.27104112825808097,0,1
2.65,-0.4521217376553647,0,1
2.66,-1.2233453843630266,0,1
2.67,0.7064113314251874,0,1
2.68,0.035734775841959145,0,1
2.69,-0.5982527849600853,0,1
2.7,-0.12202575092307394,0,1
2.71,-0.5537495241112049,0,1
2.72,1.4367414216636958,0,1
2.73,-0.6337803595740868,0,1
2.74,-1.1527413347527493,0,1
2.75,0.08739726891949827,0,1
2.7600000000000002,-1.3373107300350158,0,1
2.77,-0.6751634177922927,0,1
2.7800000000000002,-1.4924179677266032,0,1
2.79,-0.6827583037134354,0,1
2.8000000000000003,1.3411002247313293,0,1
2.81,0.06806889448695264,0,1
2.82,1.4065590832992738,0,1
2.83,-0.676748811526425,0,1
2.84,1.8931581761448768,0,1
2.85,-0.4897143351035914,0,1
2.86,-0.1238510294612833,0,1
2.87,0.33090081842419905,0,1
2.88,0.34616716086546423,0,1
2.89,0.08570825151793392,0,1
2.9,-0.1725083076757061,0,1
2.91,0.35545353058117723,0,1
2.92,0.4176501134922244,0,1
2.93,-0.06657121402613585,0,1
2.94,0.31044284009848355,0,1
2.95,0.8482695645403985,0,1
2.96,-0.43479370990854166,0,1
2.97,1.1077711902012295,0,1
2.98,-2.590247724274158,0,1
2.99,-0.48163938066089673,0,1
3.0,1.072002344202474,0,1
3.0100000000000002,0.5899896613715049,0,0
3.02,0.4426917669261225,0,0
3.0300000000000002,-0.21807170178560156,0,0
3.04,-0.46292789451516125,0,0
3.0500000000000003,0.47399378899978073,0,0
3.06,1.348571904055835,0,0
3.0700000000000003,-0.032206487949133965,0,0
3.08,0.49023840969496285,0,0
3.09,1.965176059038774,0,0
3.1,-0.0183483198482633,0,0
3.11,1.8723849648354343,0,0
3.12,0.2707846800004157,0,0
3.13,-0.15766745416581426,0,0
3.14,0.9421880692335711,0,0
3.15,-1.3539539585185845,0,0
3.16,0.7912507979482002,0,0
3.17,-2.0258879374769077,0,0
3.18,0.6357653773634796,0,0
3.19,0.13990111561251606,0,0
3.2,0.2433289051458358,0,0
3.21,1.4593788178958753,0,0
3.22,-0.4173912702650977,0,0
3.23,-1.2435591628982365,0,0
3.24,0.93470258584676,0,0
3.25,0.6424302128342788,0,0
3.2600000000000002,1.1016982408235287,0,0
3.27,-1.2358804040990723,0,0
3.2800000000000002,1.320934765594862,0,0
3.29,1.6891722705792733,0,0
3.3000000000000003,0.35378884285806783,0,0
3.31,0.3544978727003208,0,0
3.3200000000000003,0.4047332054875654,0,0
3.33,-1.0442862076402133,0,0
3.34,-0.6043026845672618,0,0
3.35,-0.5488573006503586,0,0
3.36,-0.13524541188880432,0,0
3.37,1.0615702118045105,0,0
3.38,-0.23292683773522957,0,0
3.39,0.3537561248315228,0,0
3.4,0.09406188185257865,0,0
3.41,1.1255619230119394,0,0
3.42,-0.37460922677667935,0,0
3.43,-0.5583407242252718,0,0
3.44,1.3237799613958579,0,0
3.45,1.4916228240168306,0,0
3.46,0.988589693281804,0,0
3.47,1.975414487204736,0,0
3.48,1.1117170727428263,0,0
3.49,-0.5092369216061885,0,0
3.5,0.3411811562033061,0,0
3.5100000000000002,0.2666149657639864,0,0
3.52,0.24053553431312893,0,0
3.5300000000000002,0.5822521553312368,0,0
3.54,0.7107231348659102,0,0
3.5500000000000003,0.260510300725154,0,0
3.56,0.5670115250817996,0,0
3.5700000000000003,0.16887194209849007,0,0
3.58,-1.0840781395459838,0,0
3.59,0.16716812804869077,0,0
3.6,1.3607212570539446,0,0
3.61,1.2509813820412772,0,0
3.62,-0.09060807213482061,0,0
3.63,0.9973088182220147,0,0
3.64,0.03277498771836408,0,0
3.65,0.6543826702251554,0,0
3.66,1.4754424368871866,0,0
3.67,-1.7386576027974194,0,0
3.68,1.663463782041792,0,0
3.69,0.6460524756274472,0,0
3.7,2.877016662087371,0,0
3.71,-0.7156531239299332,0,0
3.72,0.5387478024677138,0,0
3.73,1.7752314611502316,0,0
3.74,0.32756907244458444,0,0
3.75,0.46005050607479175,0,0
3.7600000000000002,0.8270608670103176,0,0
3.77,0.7508981163623644,0,0
3.7800000000000002,1.2734188933961763,0,0
3.79,0.43387767781995035,0,0
3.8000000000000003,-0.018416928051712505,0,0
3.81,1.7088773421474057,0,0
3.8200000000000003,-2.409424157396425,0,0
3.83,1.3581212991535385,0,0
3.84,-0.07167464027459094,0,0
3.85,-0.7483329503253675,0,0
3.86,1.0334897566543164,0,0
3.87,-1.0682218646957893,0,0
3.88,-2.182918431079564,0,0
3.89,0.48818923876113346,0,0
3.9,-0.1295568081233417,0,0
3.91,-0.3303347788516262,0,0
3.92,-0.1281166674138925,0,0
3.93,-0.3342351852381132,0,0
3.94,-0.16511502735473804,0,0
3.95,0.13303442978425295,0,0
3.96,-2.231636444868403,0,0
3.97,-0.767300248157649,0,0
3.98,-0.45717304951576665,0,0
3.99,-1.201714503356733,0,0
4.0,-1.3326269519019258,0,0
4.01,0.44517949269663976,0,0
4.0200000000000005,-0.32022946870216695,0,0
4.03,1.5328029532366059,0,0
4.04,0.2634350694815184,0,0
4.05,-0.7849040123919888,0,0
4.0600000000000005,-0.25494153564703426,0,0
